	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
6	6	0.018846813589334488	8450	2	5	indios		NEG	4	cuantos
7	7	0.01717950776219368	37637	2	5	indios		NEU	3	privilegiados
8	8	0.016390051692724228	42100	2	5	indios		POS	2	guapos
9	9	0.015914956107735634	12763	2	5	indios		NEG	1	dioses
0	0	0.0373837947845459	17178	3	5	indios		NEU	10	musulmanes
1	1	0.024295171722769737	7743	3	5	indios		NEG	9	extranjeros
2	2	0.019702637568116188	9616	3	5	indios		NEU	8	cristianos
3	3	0.018596000969409943	18346	3	5	indios		NEG	7	esclavos
4	4	0.01626904495060444	10091	3	5	indios		NEG	6	inmigrantes
5	5	0.01559316087514162	3144	3	5	indios		NEU	5	humanos
6	6	0.015110238455235958	7777	3	5	indios		NEG	4	pobres
7	7	0.013042024336755276	22524	3	5	indios		NEU	3	inocentes
8	8	0.009131653234362602	14005	3	5	indios		NEG	2	alemanes
9	9	0.008650722913444042	316	3	5	indios		NEG	1	los
0	0	0.027463678270578384	9616	4	5	indios		NEU	10	cristianos
1	1	0.020172499120235443	17178	4	5	indios		NEU	9	musulmanes
2	2	0.015127260237932205	7743	4	5	indios		NEG	8	extranjeros
3	3	0.01475280150771141	3144	4	5	indios		NEU	7	humanos
4	4	0.013074446469545364	33511	4	5	indios		POS	6	bienvenidos
5	5	0.012686613947153091	7777	4	5	indios		NEG	5	pobres
6	6	0.011080593802034855	18346	4	5	indios		NEG	4	esclavos
7	7	0.01072933990508318	22524	4	5	indios		NEU	3	inocentes
8	8	0.010499954223632812	316	4	5	indios		NEG	2	los
9	9	0.010111583396792412	3831	4	5	indios		NEU	1	ciudadanos
0	0	0.029049545526504517	33511	5	5	indios		POS	10	bienvenidos
1	1	0.028937451541423798	7743	5	5	indios		NEG	9	extranjeros
2	2	0.023020463064312935	1292	5	5	indios		NEG	8	muchos
3	3	0.017353836447000504	3497	5	5	indios		NEG	7	pocos
4	4	0.014254947192966938	8992	5	5	indios		POS	6	excelentes
5	5	0.012979946099221706	7268	5	5	indios		NEU	5	numerosos
6	6	0.012026040814816952	23136	5	5	indios		NEU	4	curiosos
7	7	0.011463875882327557	2634	5	5	indios		POS	3	importantes
8	8	0.010727779008448124	15110	5	5	indios		NEU	2	impresionantes
9	9	0.010419548489153385	13918	5	5	indios		NEG	1	escasos
0	0	0.03682493790984154	9616	6	5	indios		NEU	10	cristianos
1	1	0.03084145113825798	17178	6	5	indios		NEG	9	musulmanes
2	2	0.02611764706671238	19395	6	5	indios		NEG	8	indios
3	3	0.023980436846613884	3144	6	5	indios		NEG	7	humanos
4	4	0.016510112211108208	18346	6	5	indios		NEG	6	esclavos
5	5	0.014893355779349804	316	6	5	indios		NEG	5	los
6	6	0.014142751693725586	9199	6	5	indios		NEG	4	iguales
7	7	0.01393225509673357	7743	6	5	indios		NEG	3	extranjeros
8	8	0.011232439428567886	18404	6	5	indios		NEU	2	romanos
9	9	0.008771347813308239	3988	6	5	indios		POS	1	buenos
0	0	0.07757255434989929	5149	7	5	indios		NEU	10	pequeños
1	1	0.03353618457913399	10674	7	5	indios		NEU	9	famosos
2	2	0.026183046400547028	6270	7	5	indios		NEU	8	populares
3	3	0.025712739676237106	2634	7	5	indios		POS	7	importantes
4	4	0.02540745958685875	15898	7	5	indios		POS	6	poderosos
5	5	0.02174682915210724	7777	7	5	indios		NEG	5	pobres
6	6	0.0217281524091959	8095	7	5	indios		NEU	4	antiguos
7	7	0.020975282415747643	11535	7	5	indios		NEU	3	cercanos
8	8	0.02092752978205681	4090	7	5	indios		NEU	2	jóvenes
9	9	0.019839046522974968	7423	7	5	indios		NEU	1	conocidos
0	0	0.0697699785232544	15367	8	5	indios		NEG	10	vulnerables
1	1	0.05895719304680824	7777	8	5	indios		NEG	9	pobres
2	2	0.04818631708621979	5149	8	5	indios		NEU	8	pequeños
3	3	0.045848436653614044	15898	8	5	indios		POS	7	poderosos
4	4	0.029966512694954872	6270	8	5	indios		NEU	6	populares
5	5	0.029170900583267212	8187	8	5	indios		NEU	5	ricos
6	6	0.024330027401447296	10674	8	5	indios		NEU	4	famosos
7	7	0.024089863523840904	18533	8	5	indios		NEG	3	caros
8	8	0.022839536890387535	2634	8	5	indios		POS	2	importantes
9	9	0.02138344757258892	7423	8	5	indios		NEU	1	conocidos
0	0	0.05692845210433006	15898	9	5	indios		POS	10	poderosos
1	1	0.04447643831372261	7777	9	5	indios		NEG	9	pobres
2	2	0.04339471086859703	15367	9	5	indios		NEG	8	vulnerables
3	3	0.03324926272034645	5149	9	5	indios		NEU	7	pequeños
4	4	0.03139573335647583	6270	9	5	indios		NEU	6	populares
5	5	0.031234851107001305	2634	9	5	indios		POS	5	importantes
6	6	0.02716890163719654	8187	9	5	indios		NEU	4	ricos
7	7	0.02009476162493229	45736	9	5	indios		NEG	3	desfavorecidos
8	8	0.01982692815363407	11535	9	5	indios		NEU	2	cercanos
9	9	0.01757892221212387	8095	9	5	indios		NEU	1	antiguos
0	0	0.05616956949234009	2634	10	5	indios		POS	10	importantes
1	1	0.03564673289656639	10674	10	5	indios		NEU	9	famosos
2	2	0.03523452952504158	6270	10	5	indios		NEU	8	populares
3	3	0.030565759167075157	11953	10	5	indios		NEU	7	destacados
4	4	0.02983524650335312	5149	10	5	indios		NEU	6	pequeños
5	5	0.028998447582125664	7423	10	5	indios		NEU	5	conocidos
6	6	0.02731722593307495	18533	10	5	indios		NEG	4	caros
7	7	0.02657466195523739	11535	10	5	indios		NEU	3	cercanos
8	8	0.022615566849708557	43175	10	5	indios		NEU	2	buscados
9	9	0.019539617002010345	15367	10	5	indios		NEU	1	vulnerables
0	0	0.09294214099645615	3988	11	5	indios		POS	10	buenos
1	1	0.0448150560259819	8187	11	5	indios		POS	9	ricos
2	2	0.02376462332904339	15898	11	5	indios		POS	8	poderosos
3	3	0.02071467414498329	7777	11	5	indios		NEG	7	pobres
4	4	0.020092368125915527	2634	11	5	indios		POS	6	importantes
5	5	0.019372422248125076	15830	11	5	indios		POS	5	bonitos
6	6	0.017455052584409714	26241	11	5	indios		NEG	4	raros
7	7	0.015877583995461464	1528	11	5	indios		POS	3	grandes
8	8	0.015268332324922085	18533	11	5	indios		NEG	2	caros
9	9	0.014476709999144077	6270	11	5	indios		NEU	1	populares
0	0	0.12741704285144806	3497	12	5	indios		NEG	10	pocos
1	1	0.03540667146444321	8450	12	5	indios		NEG	9	cuantos
2	2	0.023461218923330307	3988	12	5	indios		POS	8	buenos
3	3	0.02175070345401764	18618	12	5	indios		NEG	7	locos
4	4	0.021613383665680885	12763	12	5	indios		NEG	6	dioses
5	5	0.020303411409258842	13891	12	5	indios		NEU	5	reyes
6	6	0.019732581451535225	37637	12	5	indios		NEU	4	privilegiados
7	7	0.019315611571073532	3144	12	5	indios		NEG	3	humanos
8	8	0.011629994958639145	26112	12	5	indios		NEU	2	sabios
9	9	0.009704221971333027	18346	12	5	indios		NEG	1	esclavos
0	0	0.017482182011008263	3144	0	5	rusos		NEU	10	humanos
1	1	0.015494145452976227	3988	0	5	rusos		POS	9	buenos
2	2	0.014165159314870834	14005	0	5	rusos		NEG	8	alemanes
3	3	0.012646472081542015	17426	0	5	rusos		NEU	7	rusos
4	4	0.012069189921021461	7743	0	5	rusos		NEG	6	extranjeros
5	5	0.011940940283238888	3497	0	5	rusos		NEG	5	pocos
6	6	0.01148985419422388	8700	0	5	rusos		NEG	4	malos
7	7	0.011329534463584423	17178	0	5	rusos		NEU	3	musulmanes
8	8	0.010728295892477036	18883	0	5	rusos		NEG	2	ingleses
9	9	0.007910382933914661	22524	0	5	rusos		NEU	1	inocentes
0	0	0.025828473269939423	33511	1	5	rusos		POS	10	bienvenidos
1	1	0.016721263527870178	3988	1	5	rusos		POS	9	buenos
2	2	0.01619226671755314	8992	1	5	rusos		POS	8	excelentes
3	3	0.015880517661571503	2274	1	5	rusos		NEU	7	amigos
4	4	0.01474748831242323	22664	1	5	rusos		NEU	6	jovenes
5	5	0.012473918497562408	20766	1	5	rusos		POS	5	geniales
6	6	0.012355441227555275	9616	1	5	rusos		NEU	4	cristianos
7	7	0.010284286923706532	3144	1	5	rusos		NEU	3	humanos
8	8	0.009105084463953972	1292	1	5	rusos		NEU	2	muchos
9	9	0.008999401703476906	22524	1	5	rusos		NEU	1	inocentes
0	0	0.05660155788064003	34851	2	5	rusos		POS	10	afortunados
1	1	0.05200231447815895	2274	2	5	rusos		NEU	9	amigos
2	2	0.04638247564435005	3497	2	5	rusos		NEG	8	pocos
3	3	0.036574069410562515	18618	2	5	rusos		NEG	7	locos
4	4	0.02273043803870678	3988	2	5	rusos		POS	6	buenos
5	5	0.02038147673010826	8450	2	5	rusos		NEG	5	cuantos
6	6	0.019313953816890717	37637	2	5	rusos		NEU	4	privilegiados
7	7	0.015819085761904716	42100	2	5	rusos		POS	3	guapos
8	8	0.01120535098016262	46359	2	5	rusos		NEG	2	idiotas
9	9	0.00959692895412445	13891	2	5	rusos		POS	1	reyes
0	0	0.032820284366607666	17178	3	5	rusos		NEU	10	musulmanes
1	1	0.028036104515194893	7743	3	5	rusos		NEU	9	extranjeros
2	2	0.01998678408563137	10091	3	5	rusos		NEG	8	inmigrantes
3	3	0.016064396128058434	3144	3	5	rusos		NEU	7	humanos
4	4	0.015398028306663036	22524	3	5	rusos		NEU	6	inocentes
5	5	0.012993771582841873	14139	3	5	rusos		NEU	5	refugiados
6	6	0.012121406383812428	14005	3	5	rusos		NEU	4	alemanes
7	7	0.01207541674375534	13066	3	5	rusos		NEG	3	terroristas
8	8	0.010605864226818085	9616	3	5	rusos		NEU	2	cristianos
9	9	0.009485463611781597	17426	3	5	rusos		NEU	1	rusos
0	0	0.019279424101114273	7743	4	5	rusos		NEU	10	extranjeros
1	1	0.016544390469789505	3831	4	5	rusos		NEU	9	ciudadanos
2	2	0.015782492235302925	17178	4	5	rusos		NEU	8	musulmanes
3	3	0.01457437314093113	3144	4	5	rusos		NEU	7	humanos
4	4	0.012281293980777264	9540	4	5	rusos		NEU	6	independientes
5	5	0.011830488219857216	9616	4	5	rusos		NEU	5	cristianos
6	6	0.011126631870865822	22524	4	5	rusos		NEU	4	inocentes
7	7	0.011034664697945118	33511	4	5	rusos		POS	3	bienvenidos
8	8	0.010271333158016205	13066	4	5	rusos		NEG	2	terroristas
9	9	0.008607937954366207	23651	4	5	rusos		NEG	1	corruptos
0	0	0.03835374489426613	7743	5	5	rusos		NEU	10	extranjeros
1	1	0.026166856288909912	33511	5	5	rusos		POS	9	bienvenidos
2	2	0.025178417563438416	8992	5	5	rusos		POS	8	excelentes
3	3	0.020217210054397583	3497	5	5	rusos		NEG	7	pocos
4	4	0.01903664879500866	1292	5	5	rusos		NEU	6	muchos
5	5	0.01896955817937851	8359	5	5	rusos		NEU	5	turistas
6	6	0.014058031141757965	23136	5	5	rusos		NEU	4	curiosos
7	7	0.012369982898235321	15110	5	5	rusos		POS	3	impresionantes
8	8	0.011460850015282631	2634	5	5	rusos		POS	2	importantes
9	9	0.010906606912612915	7268	5	5	rusos		NEU	1	numerosos
0	0	0.02081383764743805	3144	6	5	rusos		NEU	10	humanos
1	1	0.015954991802573204	5357	6	5	rusos		NEU	9	necesarios
2	2	0.015905722975730896	7743	6	5	rusos		NEG	8	extranjeros
3	3	0.015743911266326904	3988	6	5	rusos		POS	7	buenos
4	4	0.014580941759049892	17426	6	5	rusos		NEG	6	rusos
5	5	0.012087863869965076	33511	6	5	rusos		POS	5	bienvenidos
6	6	0.011470774188637733	17178	6	5	rusos		NEG	4	musulmanes
7	7	0.011175427585840225	14005	6	5	rusos		NEG	3	alemanes
8	8	0.009962826035916805	9199	6	5	rusos		NEG	2	iguales
9	9	0.009818436577916145	8700	6	5	rusos		NEG	1	malos
0	0	0.04219638556241989	5149	7	5	rusos		NEU	10	pequeños
1	1	0.03742808848619461	10674	7	5	rusos		NEU	9	famosos
2	2	0.02686624974012375	6270	7	5	rusos		NEU	8	populares
3	3	0.026328828185796738	42100	7	5	rusos		POS	7	guapos
4	4	0.025931119918823242	2634	7	5	rusos		POS	6	importantes
5	5	0.0224209763109684	15898	7	5	rusos		POS	5	poderosos
6	6	0.022286247462034225	4090	7	5	rusos		NEU	4	jóvenes
7	7	0.021834691986441612	7423	7	5	rusos		NEU	3	conocidos
8	8	0.021689830347895622	12577	7	5	rusos		POS	2	queridos
9	9	0.01905825547873974	43175	7	5	rusos		NEU	1	buscados
0	0	0.08317635953426361	15367	8	5	rusos		NEU	10	vulnerables
1	1	0.04317474737763405	15898	8	5	rusos		POS	9	poderosos
2	2	0.03498852625489235	7777	8	5	rusos		NEG	8	pobres
3	3	0.02855173870921135	5149	8	5	rusos		NEU	7	pequeños
4	4	0.028014643117785454	43175	8	5	rusos		NEU	6	buscados
5	5	0.027507290244102478	6270	8	5	rusos		NEU	5	populares
6	6	0.027496879920363426	2634	8	5	rusos		POS	4	importantes
7	7	0.027378657832741737	8084	8	5	rusos		NEG	3	afectados
8	8	0.023688605055212975	10674	8	5	rusos		NEU	2	famosos
9	9	0.02334854006767273	7423	8	5	rusos		NEU	1	conocidos
0	0	0.05078766867518425	15898	9	5	rusos		POS	10	poderosos
1	1	0.043166037648916245	15367	9	5	rusos		NEU	9	vulnerables
2	2	0.03864532709121704	2634	9	5	rusos		POS	8	importantes
3	3	0.029067663475871086	6270	9	5	rusos		NEU	7	populares
4	4	0.022532571107149124	43175	9	5	rusos		NEU	6	buscados
5	5	0.020813798531889915	11535	9	5	rusos		NEU	5	cercanos
6	6	0.019534694030880928	7777	9	5	rusos		NEG	4	pobres
7	7	0.018594007939100266	8084	9	5	rusos		NEG	3	afectados
8	8	0.01847602054476738	11953	9	5	rusos		NEU	2	destacados
9	9	0.018139634281396866	5149	9	5	rusos		NEU	1	pequeños
0	0	0.05795766040682793	2634	10	5	rusos		POS	10	importantes
1	1	0.03701198101043701	11953	10	5	rusos		POS	9	destacados
2	2	0.03631521761417389	18533	10	5	rusos		NEG	8	caros
3	3	0.03151626139879227	10674	10	5	rusos		NEU	7	famosos
4	4	0.0312176663428545	6270	10	5	rusos		NEU	6	populares
5	5	0.03091275319457054	43175	10	5	rusos		NEU	5	buscados
6	6	0.02974379062652588	7423	10	5	rusos		NEU	4	conocidos
7	7	0.025283077731728554	11535	10	5	rusos		NEU	3	cercanos
8	8	0.020290371030569077	35795	10	5	rusos		NEU	2	visitados
9	9	0.01905965805053711	10727	10	5	rusos		NEU	1	baratos
0	0	0.15850132703781128	3988	11	5	rusos		POS	10	buenos
1	1	0.027730081230401993	3497	11	5	rusos		NEG	9	pocos
2	2	0.027192773297429085	8700	11	5	rusos		NEG	8	malos
3	3	0.0261655542999506	22606	11	5	rusos		POS	7	amables
4	4	0.024518245831131935	18533	11	5	rusos		NEG	6	caros
5	5	0.023308398202061653	2634	11	5	rusos		POS	5	importantes
6	6	0.02005794458091259	6702	11	5	rusos		POS	4	interesantes
7	7	0.0199858620762825	15898	11	5	rusos		POS	3	poderosos
8	8	0.018345322459936142	5655	11	5	rusos		NEU	2	fuertes
9	9	0.0152420150116086	22299	11	5	rusos		NEU	1	parecidos
0	0	0.27243638038635254	3497	12	5	rusos		NEG	10	pocos
1	1	0.0520494244992733	8450	12	5	rusos		NEG	9	cuantos
2	2	0.02790740877389908	3988	12	5	rusos		POS	8	buenos
3	3	0.02274671196937561	18618	12	5	rusos		NEG	7	locos
4	4	0.022556807845830917	37637	12	5	rusos		NEU	6	privilegiados
5	5	0.012447254732251167	3144	12	5	rusos		NEG	5	humanos
6	6	0.011374705471098423	46359	12	5	rusos		NEG	4	idiotas
7	7	0.010583732277154922	34851	12	5	rusos		POS	3	afortunados
8	8	0.01058086659759283	8700	12	5	rusos		NEG	2	malos
9	9	0.0088597871363163	31543	12	5	rusos		NEG	1	tontos
